ID_Participante,ID_Cancion,ABRUMADO,ADMIRACIÓN,AGITADO,AGITADO(15),AGRADABLE,ALEGRE,ANIMADO,ATADO,CALMA,CARIÑOSO,CONMOVIDO,ENSUEÑO,ENÉRGICO,EUFÓRICO,FUERTE,NOSTALGICO,SENTIMENTAL,SERENO,SUAVE,TENSO,TIERNO,TRANQUILO,TRASCENDENCIA,TRISTE,TRIUNFANTE,Genero
P01,B5,5,0,4,0,0,0,0,5,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,ROCK
,C4,0,5,0,0,0,0,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,3,0,0,HIP HOP
,FF8,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,5,0,0,3,0,0,0,0,0,4,SALSA
,H5,0,3,0,0,0,3,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,BLUES
,II2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,CORRIDO TUMBADO
,M2,4,0,0,5,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,PUNK
,N3,0,3,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,SOUL
,O3,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,WORLD MUSIC
,S1,4,0,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,3,0,0,0,0,0,DISCO
,V5,0,0,0,0,4,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,3,DANCE
P02,CC4,0,4,0,0,0,4,0,0,0,0,2,0,0,0,0,5,3,0,0,0,0,0,0,0,0,ROCK ESPAÑOL
,DD4,4,0,5,0,0,0,0,5,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,RAP
,E4,0,0,0,0,5,0,4,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,JAZZ
,G5,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,4,0,0,0,COUNTRY
,J4,0,0,0,0,0,4,0,0,4,5,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,FOLK
,KK7,0,0,2,0,0,0,5,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,3,MERENGUE
,L3,0,0,4,0,0,0,0,2,0,0,0,0,0,4,5,0,0,0,0,4,0,0,0,0,0,PROGRESSIVE ROCK
,R3,3,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,5,0,0,0,0,0,0,J POP
,T4,0,0,3,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,2,ROCK ALTERNATIVO
,X3,0,5,3,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,INDIE
P03,A2,0,5,4,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,POP
,D3,0,5,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,ELECTRÓNICA
,EE7,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,5,3,0,3,0,0,0,0,REGGAE ESP
,JJ6,0,0,3,0,0,0,3,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,BANDA NORTEÑO
,K1,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,5,0,0,0,1,0,NU METAL
,O2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,3,0,4,0,0,0,5,WORLD MUSIC
,P5,0,0,5,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,ALTERNATIVO
,Q1,3,0,5,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,HARD ROCK
,R2,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,4,4,0,0,0,0,0,0,J POP
,S2,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,5,DISCO
P04,C2,0,0,5,0,5,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,HIP HOP
,EE4,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,REGGAE ESP
,F1,0,0,0,0,5,0,4,0,5,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,REGGAE
,G1,4,3,0,0,5,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COUNTRY
,KK8,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,4,MERENGUE
,L2,0,4,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,PROGRESSIVE ROCK
,T4,0,0,0,0,5,0,3,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,ROCK ALTERNATIVO
,U2,4,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,5,HOUSE
,W5,0,0,3,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,3,0,0,0,3,0,0,TRAP
,Y3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,K POP
P05,CC8,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,5,0,0,0,3,0,4,0,0,ROCK ESPAÑOL
,DD4,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,0,5,RAP
,E2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,5,JAZZ
,FF5,0,0,0,0,0,0,5,0,0,5,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,SALSA
,I3,0,0,0,4,0,0,4,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,METAL
,J3,3,4,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,FOLK
,M4,0,5,0,0,0,0,5,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,PUNK
,PP3,0,0,0,0,0,5,0,0,4,0,0,4,0,0,0,0,4,5,0,0,0,0,0,0,0,ROMANTICA
,Q4,0,0,5,0,0,0,0,3,0,0,0,0,4,5,0,0,0,0,0,4,0,0,0,0,0,HARD ROCK
,V3,0,0,0,0,0,0,3,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,4,0,0,DANCE
P06,BB3,0,0,0,0,5,0,4,0,4,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,POP ESPAÑOL
,C3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,0,4,0,4,0,0,HIP HOP
,II2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,CORRIDO TUMBADO
,K1,0,0,0,3,0,4,0,3,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,NU METAL
,M1,5,0,0,0,0,0,0,4,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,4,PUNK
,N4,5,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,SOUL
,R5,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0,3,0,0,0,4,0,0,J POP
,T5,5,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,2,4,0,0,0,0,0,ROCK ALTERNATIVO
,U5,4,0,0,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,HOUSE
,X2,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,5,5,0,0,INDIE
P07,A4,3,0,0,0,0,0,4,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,POP
,B5,0,0,3,0,5,0,0,0,0,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,ROCK
,DD10,5,0,0,0,0,0,0,3,0,0,0,0,5,0,5,0,0,0,0,4,0,0,0,0,0,RAP
,FF8,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,5,0,4,0,0,0,0,0,0,0,SALSA
,J5,0,1,0,0,4,0,0,0,2,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,FOLK
,M2,5,0,0,0,0,0,0,0,0,0,0,0,4,5,2,0,3,0,0,0,0,0,0,0,0,PUNK
,Q5,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,5,0,0,HARD ROCK
,R3,0,0,2,0,5,4,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,J POP
,T2,0,3,0,0,0,4,0,0,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,ROCK ALTERNATIVO
,W5,0,4,0,0,0,4,4,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,TRAP
P08,BB6,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,4,0,0,POP ESPAÑOL
,CC5,0,0,0,0,3,4,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,ROCK ESPAÑOL
,KK3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,3,5,0,0,MERENGUE
,L3,0,4,4,0,0,0,3,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,PROGRESSIVE ROCK
,O5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,4,5,0,0,3,0,0,0,WORLD MUSIC
,P4,0,0,0,0,5,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,2,5,0,0,ALTERNATIVO
,S5,5,0,0,0,0,0,4,0,0,0,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,DISCO
,V4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,0,3,3,0,0,0,0,0,0,DANCE
,X3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,5,0,0,INDIE
,Y1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,5,5,0,0,0,0,0,0,3,0,0,K POP
P09,DD7,0,0,0,0,0,0,0,5,3,0,0,0,4,0,0,0,0,4,3,0,0,0,0,0,0,RAP
,E1,0,3,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,4,0,0,JAZZ
,G4,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,4,0,3,0,COUNTRY
,II5,0,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,5,0,0,0,0,CORRIDO TUMBADO
,J1,0,4,0,0,3,5,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FOLK
,K5,4,0,0,0,0,5,3,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,NU METAL
,LL3,0,0,0,0,0,5,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,CUMBIA
,M5,0,0,0,4,0,0,5,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,3,PUNK
,Q3,2,0,4,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,HARD ROCK
,T3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,3,0,0,0,0,0,3,ROCK ALTERNATIVO
P10,B1,0,4,0,0,0,0,0,0,0,0,5,0,0,5,5,0,5,0,0,0,0,0,0,0,0,ROCK
,BB4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,4,0,0,0,0,0,POP ESPAÑOL
,C1,5,5,0,0,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,HIP HOP
,DD1,0,0,0,3,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,RAP
,HH6,0,0,0,0,0,5,4,0,0,3,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,SKA
,MM1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,5,0,0,0,0,4,2,0,BALADA
,N5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,5,0,0,0,4,0,0,0,SOUL
,O1,0,0,0,0,0,0,0,0,0,4,4,0,5,4,0,0,0,0,0,0,0,4,0,0,0,WORLD MUSIC
,U3,0,0,0,0,0,3,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,4,0,0,HOUSE
,X4,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,4,0,0,0,2,0,INDIE
P11,C5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,3,0,5,0,5,HIP HOP
,DD2,3,0,0,0,0,0,5,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,3,0,0,RAP
,F2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,5,0,0,4,4,0,0,REGGAE
,HH9,0,0,0,0,0,5,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,SKA
,J2,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,5,2,0,FOLK
,K3,0,0,0,0,0,0,4,0,0,0,0,0,5,0,5,0,0,0,0,3,0,0,4,0,0,NU METAL
,MM5,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,3,0,0,BALADA
,OO6,0,5,0,0,0,5,0,0,0,5,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,MARIACHI
,PP6,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,4,5,0,0,0,5,0,0,ROMANTICA
,U1,0,0,0,0,0,0,5,5,0,0,4,0,0,5,0,0,0,0,0,0,3,0,0,0,0,HOUSE
P12,BB7,0,0,4,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,POP ESPAÑOL
,CC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,0,0,4,4,0,0,ROCK ESPAÑOL
,GG4,0,0,0,0,0,4,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,5,0,5,REGGAETON
,II10,5,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,4,0,0,0,0,0,CORRIDO TUMBADO
,L5,5,5,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,5,0,0,0,0,0,PROGRESSIVE ROCK
,LL7,0,0,0,0,0,5,3,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,4,0,0,CUMBIA
,Q2,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,HARD ROCK
,V2,4,0,0,0,0,5,5,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,DANCE
,W1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,0,4,0,4,0,0,0,0,0,TRAP
,X1,0,0,0,0,0,0,0,0,0,0,4,0,3,2,0,0,0,0,0,5,0,0,0,0,5,TRAP
P13,DD5,4,0,0,0,0,5,0,0,0,0,0,5,0,4,0,0,0,4,0,0,0,0,0,0,0,RAP
,FF1,0,0,0,0,0,5,5,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,SALSA
,GG9,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,4,0,0,2,0,0,0,0,0,REGGAETON
,H4,4,0,0,0,0,5,4,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,BLUES
,JJ4,4,0,0,0,4,0,5,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,BANDA NORTEÑO
,K4,0,0,0,0,4,0,0,0,0,0,0,5,0,4,5,0,0,0,0,5,0,0,0,0,0,NU METAL
,NN3,0,0,4,0,0,2,0,0,4,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,CORRIDO
,OO8,0,0,0,0,5,4,0,0,0,0,0,0,4,0,0,0,0,5,3,0,0,0,0,0,0,MARIACHI
,P1,0,5,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,5,ALTERNATIVO
,PP1,0,0,0,0,0,2,0,0,4,0,4,0,0,0,0,0,0,4,0,0,0,0,0,4,0,ROMANTICA
P14,B4,0,0,0,0,4,0,4,0,5,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,ROCK
,CC2,2,0,0,0,0,4,4,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,ROCK ESPAÑOL
,E5,0,0,0,0,4,5,0,0,0,0,0,4,0,0,0,3,0,0,0,0,5,0,0,0,0,JAZZ
,F5,0,0,0,0,0,3,0,0,0,0,0,0,4,2,0,0,0,4,5,0,0,0,0,0,0,REGGAE
,GG7,0,0,0,0,0,0,5,0,0,0,4,5,0,0,4,0,0,0,0,0,0,0,4,0,0,REGGAETON
,H2,4,0,0,0,0,0,0,0,5,0,0,3,4,0,0,0,0,0,0,0,0,0,4,0,0,BLUES
,II9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,4,0,2,0,0,0,0,4,CORRIDO TUMBADO
,NN9,3,0,2,0,0,0,0,0,0,0,3,0,0,4,3,0,0,0,0,0,0,0,0,0,0,CORRIDO
,O4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,4,3,5,WORLD MUSIC
,R4,0,0,4,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,J POP
P15,AA2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,5,0,0,0,0,5,0,4,SOUL
,BB1,3,0,3,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,POP ESPAÑOL
,F3,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,4,REGGAE
,GG1,0,0,0,0,4,0,3,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,0,0,REGGAETON
,HH1,0,0,4,0,0,0,0,0,1,0,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,SKA
,JJ8,0,4,5,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,3,0,0,0,0,BANDA NORTEÑO
,L4,0,0,2,0,0,3,0,0,0,0,0,0,4,0,0,0,0,5,0,1,0,0,0,0,0,PROGRESSIVE ROCK
,PP10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,5,0,5,0,0,ROMANTICA
